"Image type","Feature Class","Feature Name","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_203","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_204","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_205","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_206","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_208","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_209","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_210","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_211","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_212","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_214","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_215","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_226","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7001","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7003","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7005","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7006","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7007","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7008","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7009","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7010","rh.hippoAmygLabels-T1.v21.FS60.FSvoxelSpace_29_label_7015"
"diagnostics","Mask-interpolated","VoxelNum","65","254","352","880","228","273","339","56","121","579","49","486","756","518","80","13","32","306","175","36","44"
"diagnostics","Mask-interpolated","VolumeNum","1","1","1","1","1","1","1","1","3","3","20","1","2","1","2","4","2","1","1","1","1"
"diagnostics","Mask-interpolated","CenterOfMassIndex","(9.753846153846155, 7.046153846153846, 11.461538461538462)","(9.381889763779528, 15.665354330708661, 18.381889763779526)","(11.133522727272727, 15.039772727272727, 20.642045454545453)","(15.586363636363636, 11.817045454545454, 24.946590909090908)","(12.530701754385966, 11.802631578947368, 19.482456140350877)","(10.593406593406593, 13.956043956043956, 19.274725274725274)","(12.542772861356932, 14.058997050147493, 19.457227138643066)","(9.035714285714286, 8.267857142857142, 6.946428571428571)","(10.272727272727273, 12.231404958677686, 14.082644628099173)","(12.962003454231434, 15.38860103626943, 22.29706390328152)","(12.714285714285714, 13.36734693877551, 18.73469387755102)","(16.032921810699587, 11.526748971193415, 9.067901234567902)","(12.198412698412698, 12.072751322751323, 11.30026455026455)","(14.027027027027026, 9.806949806949808, 10.924710424710424)","(8.125, 7.65, 10.025)","(9.076923076923077, 6.6923076923076925, 10.307692307692308)","(7.59375, 5.90625, 8.65625)","(9.647058823529411, 9.313725490196079, 10.483660130718954)","(13.177142857142858, 8.697142857142858, 10.714285714285714)","(8.333333333333334, 6.333333333333333, 6.444444444444445)","(9.636363636363637, 9.454545454545455, 9.113636363636363)"
"diagnostics","Mask-interpolated","CenterOfMass","(-20.79571306705475, -17.57872599363327, -20.33658200777494)","(-25.167669196532465, -10.49907771785428, -16.955782492329753)","(-30.416035920212217, -12.759233273904432, -18.33020088889382)","(-29.96319503811273, -18.06377841227434, -17.107473616166548)","(-31.018856857168046, -11.599644028826763, -13.093059740568462)","(-30.956152021884918, -11.391913175582886, -15.24647211766505)","(-30.00678581052122, -11.57441502862272, -15.349425211768587)","(-20.513844951987267, -19.063616015017033, -11.558285304478236)","(-30.276831383054905, -5.19983289803355, -10.52183312029878)","(-30.58755518303016, -14.41425162399371, -16.67902919789052)","(-29.8352729678154, -9.851881870201655, -15.657775100396604)","(-25.516637128812295, 5.814909838967852, -4.817177132814509)","(-30.351145952939987, -28.417451436320942, -17.363179484372417)","(-25.522531912133502, -26.041897452360875, -14.097377968570902)","(-30.424558646976948, -23.14218720048666, -7.940428161621094)","(-27.472635746002197, -23.424879491329193, -5.982735853928786)","(-24.95580897293985, -21.773437282070518, -7.196678161621094)","(-24.90250015258789, -23.60084730386734, -10.604153651817173)","(-21.37241632938385, -23.831472873687744, -10.987571018763951)","(-28.21622544527054, -32.561631083488464, -12.623761494954426)","(-21.913195517930117, -24.23082349923524, -17.744973616166547)"
"diagnostics","Mask-interpolated","Mean","74.50769230769231","77.38976377952756","81.57670454545455","73.92954545454545","77.21929824561404","75.13186813186813","77.06784660766962","66.80357142857143","97.44628099173553","76.33160621761658","69.42857142857143","75.18930041152264","72.35978835978835","69.64478764478764","75.55","70.76923076923077","72.4375","68.38235294117646","68.07428571428571","65.66666666666667","77.04545454545455"
"diagnostics","Mask-interpolated","Minimum","51.0","57.0","65.0","55.0","53.0","62.0","58.0","48.0","70.0","50.0","36.0","51.0","45.0","48.0","46.0","49.0","55.0","53.0","56.0","58.0","53.0"
"diagnostics","Mask-interpolated","Maximum","97.0","102.0","101.0","97.0","97.0","99.0","100.0","83.0","135.0","98.0","109.0","94.0","97.0","88.0","86.0","84.0","85.0","86.0","90.0","74.0","92.0"
"original","shape","Elongation","0.3365643168855315","0.287778357861593","0.34314263955901547","0.6433313701777651","0.550728407944655","0.5417975463393264","0.6651086040778011","0.32790630601482706","0.35295373225965343","0.561689502045675","0.5125526459442283","0.29336832058524404","0.6351369946246972","0.4956462266623025","0.7375936637647056","0.3381500034047757","0.34010695790981027","0.7396749837060815","0.8104795943883001","0.3070488775368484","0.784766222431473"
"original","shape","Flatness","0.129137698580631","0.08899768578825167","0.07826315958850409","0.22192655522359434","0.18075062699160446","0.11940978644153098","0.19614682229555538","0.3031485178280278","0.1291414418748712","0.19882928209501555","0.11931869966616371","0.18072663829114968","0.5110296991792914","0.3306058679348899","0.42886053760270804","0.2738932940063596","0.2593102772830609","0.4105018376949005","0.4106137824460749","0.19538668371181067","0.1159704436500634"
"original","shape","LeastAxisLength","2.0090853220313463","3.4921725925322162","3.1542856240825867","7.156686184982801","4.710897289683163","3.241511807265096","5.471396241903616","3.2204020235697297","3.039395892591051","6.6733576610118925","3.876126925768063","4.486468557090651","8.131207203595693","5.914676263952678","4.139372009700183","4.02277233628302","2.849376804460116","4.878530588071543","5.325216382223725","1.923286493646095","1.3459418041042546"
"original","shape","MajorAxisLength","15.55769805497125","39.2389146032515","40.303581412600074","32.247993836394805","26.062965136502548","27.146115103826126","27.894391445502382","10.623182480465307","23.535403108910675","33.56325381601923","32.48549419841902","24.824611355095165","15.911418096941","17.89041525759466","9.652023552549045","14.68737068162616","10.9882910708925","11.884308765744038","12.96891777597133","9.843488087872371","11.60590372634587"
"original","shape","Maximum2DDiameterColumn","13.601469698024625","15.811387358409714","24.20743543094473","31.890435537385752","19.23538291515311","17.117241748356516","21.26029035825717","7.615772651928457","12.041593861057327","27.20293939604925","14.999999105930328","16.12451453550108","16.12451453550108","13.892443161395615","10.049875022101624","10.295629527319623","9.219543907765214","11.401753571393867","15.620498420758993","9.055384598394403","11.04536035883244"
"original","shape","Maximum2DDiameterRow","7.280109488101465","30.528673725114928","34.438349052181294","28.460497414775283","24.698176793809857","26.419688433785282","26.925822864645898","6.082762520499276","21.095022194256902","33.12098880989199","27.78488674325399","10.816653628015723","16.124515481811006","11.045360364228792","10.049875028032508","10.049875028032508","9.21954393362534","11.180339242423567","13.341663309109201","4.123105611161411","9.999999785423283"
"original","shape","Maximum2DDiameterSlice","8.062257386039283","9.848857311589391","16.155493591280667","25.317976330943125","16.492421577270658","16.99999898672104","18.43908786725068","8.94427148350304","8.062257275143587","21.58703192726376","14.999999105930328","24.18677215811785","18.0277562582942","19.313206915895435","8.062257275143587","6.324554981061174","4.123105611161411","14.3178203597346","9.999999785423283","9.486832471591761","12.165524355072527"
"original","shape","Maximum3DDiameter","14.456831437229546","31.208971827248078","34.899855090253126","33.030287206182464","24.71841291060327","26.999998708566036","28.600697887515636","11.045360493741219","21.840328759048198","33.98528941711043","30.822068371089358","28.74021447997943","18.466185038258732","19.748416556489044","10.67707775519002","11.357816035613505","9.539391501811766","14.45683169697474","17.46424818633918","9.539391501811766","12.409672949544381"
"original","shape","MeshVolume","52.08332712451634","238.29163826008707","314.0832958916844","855.5415646781553","197.74997642636257","252.2083032677585","298.1249644607329","47.499994337558896","91.70832240084833","548.6249345988056","26.624996826052836","452.4582793960978","718.7915809800239","501.41660689314307","65.16665889819481","5.916665961345054","23.37499721348293","291.16663195689574","161.83331404129714","29.791663115223333","31.791662876804793"
"original","shape","MinorAxisLength","5.236166018182761","11.292110408794999","13.829877309601262","20.746146060251995","14.353615295943099","14.707698555897924","18.552799755917846","3.4834085252908062","8.306908367525473","18.852127322952438","16.65052600620555","7.282754542425648","10.105930270308125","8.867316815848477","7.119271414867879","4.9665344459990886","3.737194248748779","8.790525892659764","10.511043218724458","3.02243196842855","9.107921225227804"
