"Image type","Feature Class","Feature Name","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8103","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8104","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8105","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8106","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8108","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8109","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8110","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8111","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8112","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8113","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8115","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8116","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8118","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8119","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8120","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8121","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8122","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8123","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8126","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8127","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8128","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8129","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8130","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8133","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8203","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8204","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8205","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8206","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8208","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8209","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8210","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8211","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8212","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8213","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8215","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8216","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8217","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8218","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8219","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8220","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8221","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8222","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8223","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8226","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8227","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8228","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8229","ThalamicNuclei.v12.T1.FSvoxelSpace_40_label_8233"
"original","glrlm","RunVariance","0.5236127527124836","0.8838928601311693","0.05891753880238953","2.443584303014035","0.0657764091830026","1.4800485561868002","0.20218254632584845","0.21919976154579318","1.0046509007297855","0.6148448885884773","0.8032999089180793","0.35888888888888887","0.46769763461323766","0.25","0.7615174104078097","0.6487507832575355","0.7229522877504853","0.9723531572139887","1.5455716990551756","0.11245274167928436","1.0319563384718877","1.7090941555877932","nan","2.578598782731837","0.9628176659388031","0.928201216355152","0.08104729210279749","2.1564205440166706","0.09208692214176883","1.1665510973156576","1.0301854193263091","0.2859485003554548","1.384592719176027","0.9101477719733756","0.8067019206816892","0.125","","0.44062213280354573","0.08333333333333333","2.279794192417503","0.9018860325219014","1.519741821682902","1.0446874177181982","1.23453017669051","0.22406929692159616","1.3071534431680147","2.182386728530635","3.46005778110037"
"original","glrlm","ShortRunEmphasis","0.8103476772095258","0.7007188912165698","0.9546966820916403","0.5275677341138393","0.9445970695970696","0.6371804357039452","0.9047482980843919","0.8626776864690601","0.7231058473916193","0.8289115913716264","0.6860669060811755","0.6429012345679013","0.7547282885698944","0.625","0.7771289300067656","0.7880572931377221","0.791704204461179","0.7748548261128474","0.6138531473608371","0.8993730628346014","0.6598193086382257","0.6149713834905925","nan","0.5439624401100256","0.7341349082963243","0.7387944621414204","0.9468569916123212","0.5422345531823827","0.9214665032679739","0.6845402382282318","0.731488751062976","0.8605444172692345","0.6696485128859381","0.8061064541053542","0.7305173364648124","0.8125","","0.7662620779975549","0.875","0.612460676707667","0.7496684567728754","0.6156193621405665","0.7671537516710714","0.6434246328271803","0.8609063635578785","0.6369275569070236","0.5787189368111926","0.5220754562067711"
"original","glrlm","ShortRunHighGrayLevelEmphasis","4.9346542518576175","3.389670745090661","2.1630935793120667","1.3653598930964204","2.3999694749694753","1.6637685107329432","2.0710322661329594","2.313816670196413","11.715550618639007","19.130020345635753","1.9000490801410446","0.6429012345679013","2.0222764092004195","0.625","14.039941909435957","13.485583916035175","8.733604986413766","13.800456254350149","1.5593726615666363","2.1825373344604113","1.6743356018781355","1.528566915672451","nan","1.3851491347031741","4.348769286569502","3.43161448064026","2.102213557688364","1.2798227454866773","2.4317470043572986","1.7086656981050086","1.5484916778312616","2.2705595534494347","8.315930204150089","14.714476177083489","1.7771030526667682","2.0625","","1.9028528392590998","2.3333333333333335","11.263152469256356","9.099248277217566","5.643413347135176","12.842645479359387","4.077252048362811","1.734677289601532","1.6242545354043267","1.4304543959840865","1.2914851172580808"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.19312752958240248","0.17258609190482177","0.6525974577865334","0.31811969436819404","0.5807539682539683","0.38053341694669574","0.61317730607225","0.4998929405372218","0.06914608890095707","0.08644708486344418","0.3825713625662085","0.6429012345679013","0.4378412584122631","0.625","0.08500392647444645","0.08752683006935287","0.12977165622835038","0.10415141182306292","0.37747326880938714","0.5785819949281488","0.40619023532824816","0.3865725004451279","nan","0.3336657664617384","0.19642204251282844","0.19668763957884788","0.6580178500933104","0.35783750510630896","0.6084993796901476","0.42850887325903764","0.5272380193709046","0.5080406332241842","0.078795620222393","0.09169115837923109","0.46887090741432363","0.5","","0.4821143876821684","0.5104166666666666","0.05117570051932417","0.16547284678068822","0.09665270900900626","0.10503406021327898","0.1233778051023405","0.6424636320469653","0.39009581228269796","0.36578507201796917","0.3297230409439437"
"original","glszm","GrayLevelNonUniformity","4.0","2.7142857142857144","12.52","2.5","3.5714285714285716","3.4","4.555555555555555","3.3333333333333335","5.344827586206897","16.420289855072465","3.4","1.0","2.5","1.0","5.0","5.4","5.2","13.436363636363636","2.0","1.0","6.636363636363637","4.555555555555555","1.0","4.0","4.75","3.75","9.736842105263158","2.6","2.7142857142857144","3.5714285714285716","4.142857142857143","3.5714285714285716","4.909090909090909","12.849462365591398","3.4","1.0","","1.6666666666666667","1.0","4.545454545454546","5.129032258064516","5.0","10.851851851851851","1.0","1.0","3.5714285714285716","6.538461538461538","8.384615384615385"
"original","glszm","GrayLevelNonUniformityNormalized","0.2857142857142857","0.3877551020408163","0.5008","0.625","0.5102040816326531","0.68","0.5061728395061729","0.5555555555555556","0.18430439952437574","0.11898760764545263","0.68","1.0","0.625","1.0","0.15625","0.15428571428571428","0.26","0.12214876033057852","0.5","0.5","0.6033057851239669","0.5061728395061729","0.5","0.5","0.296875","0.46875","0.5124653739612188","0.52","0.3877551020408163","0.5102040816326531","0.5918367346938775","0.5102040816326531","0.2231404958677686","0.13816626199560642","0.68","0.5","","0.5555555555555556","0.5","0.2066115702479339","0.16545265348595214","0.45454545454545453","0.133973479652492","0.25","0.5","0.5102040816326531","0.5029585798816568","0.6449704142011834"
"original","glszm","GrayLevelVariance","1.2448979591836735","0.4897959183673469","0.24960000000000002","0.1875","0.24489795918367346","0.16","0.24691358024691357","0.2222222222222222","2.7300832342449466","5.737502625498844","0.16000000000000003","0.0","0.1875","0.0","3.4375","4.615510204081632","1.4900000000000002","5.322314049586778","0.25","0.25","0.1983471074380165","0.24691358024691357","0.25","0.25","1.25","0.5","0.24376731301939056","0.24","0.4897959183673469","0.24489795918367346","0.20408163265306123","0.24489795918367346","2.8099173553719012","4.270782749450803","0.16000000000000003","0.25","","0.2222222222222222","0.25","2.150826446280992","3.1030176899063475","1.1074380165289257","5.014479500076207","1.25","0.25","0.24489795918367346","0.2485207100591716","0.1775147928994083"
"original","glszm","HighGrayLevelZoneEmphasis","7.857142857142857","5.714285714285714","2.44","3.25","2.2857142857142856","1.6","2.3333333333333335","2.0","22.517241379310345","36.789855072463766","3.4","1.0","1.75","1.0","19.4375","19.714285714285715","9.9","26.818181818181817","2.5","2.5","1.8181818181818181","2.3333333333333335","2.5","2.5","7.5","6.75","2.263157894736842","2.8","3.4285714285714284","2.2857142857142856","3.142857142857143","2.7142857142857144","18.09090909090909","27.892473118279568","3.4","2.5","","2.0","2.5","15.045454545454545","20.419354838709676","11.818181818181818","25.54320987654321","7.5","2.5","2.2857142857142856","2.6153846153846154","3.3076923076923075"
"original","glszm","LargeAreaEmphasis","549.1428571428571","644.7142857142857","7.12","33231.0","5.285714285714286","15610.4","237.22222222222223","48.0","2177.2413793103447","2440.159420289855","2999.0","36.0","603.75","9.0","862.53125","1186.7714285714285","1062.6","7011.990909090909","43796.75","56.5","32309.272727272728","104500.88888888889","1.0","195387.125","1161.625","546.5","8.473684210526315","20599.6","12.714285714285714","7756.857142857143","2427.0","116.0","2366.9545454545455","3635.4086021505377","1723.0","2.5","","802.0","2.5","3193.7727272727275","1899.3870967741937","4477.545454545455","15377.074074074075","40906.5","58.0","54927.42857142857","81768.0","120390.15384615384"
"original","glszm","LargeAreaHighGrayLevelEmphasis","2348.9285714285716","2593.4285714285716","14.68","41049.0","14.714285714285714","57745.4","601.2222222222222","168.5","20261.931034482757","33923.413043478264","7136.0","36.0","2190.75","9.0","13998.96875","13056.342857142858","15917.5","101060.22727272728","116805.5","130.0","92818.45454545454","274952.8888888889","2.5","459993.875","4826.25","2189.5","18.263157894736842","29828.2","22.0","26478.14285714286","2903.5714285714284","365.42857142857144","21466.772727272728","50079.13978494624","2139.4","4.0","","1763.0","8.5","51390.681818181816","16596.41935483871","40352.818181818184","218692.2098765432","286871.0","82.0","131975.14285714287","141799.61538461538","191566.07692307694"
