"Image type","Feature Class","Feature Name","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8103","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8104","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8105","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8106","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8108","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8109","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8110","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8111","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8112","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8113","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8115","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8116","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8118","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8120","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8121","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8122","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8123","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8126","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8127","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8128","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8129","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8130","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8133","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8203","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8204","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8205","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8206","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8208","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8209","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8210","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8211","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8212","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8213","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8215","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8216","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8217","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8218","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8219","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8220","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8221","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8222","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8223","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8226","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8227","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8228","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8229","ThalamicNuclei.v12.T1.FSvoxelSpace_8_label_8233"
"original","glrlm","GrayLevelNonUniformityNormalized","0.500679315001533","0.5200748277693905","0.4816711447666654","0.5393193858585726","0.525841250324819","0.5910059475375571","0.5113847732729572","0.507301924981427","0.603455698534576","0.4851970535600978","0.510348345559993","1.0","0.5095306784926985","0.8188419556439074","0.5346145745687211","0.5001001523098778","0.4614397317359673","0.5145806845836505","0.7387027588813302","0.5094219618485809","0.5002115153657575","0.6616666666666667","0.5011159686277417","0.4908972965945678","0.6236617118727524","0.5981328904380853","0.5336318779445792","0.7521176002064359","0.5496622859428123","0.5277544475788593","0.8324148446560721","0.7040964751089361","0.5179146481554486","0.5012078334021381","0.5252672497570456","","0.5034050636376356","","0.9058680750754781","0.5942571138549609","0.6553690021350229","0.5049555200707608","0.5186240116970532","0.7198866213151928","0.5140271596770629","0.5007242019912403","0.5032888956241959"
"original","glrlm","GrayLevelVariance","0.26681177801278383","0.23996258611530477","0.30896052554951187","0.23034030707071368","0.2370793748375905","0.20449702623122143","0.24430761336352141","0.24634903750928647","0.25127620968379494","0.3449714982844271","0.2448258272200035","0.0","0.24523466075365083","0.09718803667453596","0.24090699045211486","0.27266977424970834","0.37409056053483136","0.24270965770817476","0.13064862055933482","0.24528901907570955","0.2498942423171212","0.1691666666666667","0.2494420156861292","0.2845761028407012","0.18816914406362378","0.20093355478095734","0.23318406102771036","0.12394119989678203","0.2251688570285939","0.23612277621057037","0.08379257767196395","0.15573232935675566","0.30607446368608593","0.24939608329893084","0.23736637512147718","","0.24829746818118223","","0.04706596246226106","0.21376781474451134","0.177652717204799","0.3823945802498415","0.24068799415147343","0.14005668934240362","0.24298642016146857","0.24963789900437985","0.24835555218790203"
"original","glrlm","HighGrayLevelRunEmphasis","2.3592549051470915","2.213368263655328","2.491066827262273","2.0851835724545977","2.1730587604615064","3.137492199483609","2.2807447275600703","2.6407546337607517","5.401047498479529","3.5033476301679505","2.2878267921620266","1.0","2.668379622657746","3.9408520093987085","5.73581756694747","5.913127805947245","4.136181212001051","2.7470066977070453","3.53452380952381","2.7030778666157005","2.497507921474159","1.6500000000000001","2.4471709614067416","5.936999452982215","1.7585734810004392","1.8385281385281385","2.117195861990106","1.4362337161806655","2.9677645397372854","2.149769111612971","1.2778131064505407","4.771293294521919","3.560778523784504","2.5554503451093065","2.2551020408163263","","2.407744317365208","","3.8504101641680206","5.27375266056444","5.025751468985681","4.260058855476265","2.778476341792641","3.492857142857143","2.7493317751189013","2.445407633819816","2.387066029709843"
"original","glrlm","LongRunEmphasis","3.4332418461899064","2.2969505099000025","1.3845733883447358","5.751977872837701","1.3375666095917813","4.7088332214759125","2.5706731360578448","1.5172155809102843","5.616274356289864","7.437596125952599","3.451407189194723","3.0","2.302921863565607","6.507552672961627","3.361684885756762","2.9309011214286183","9.267182164199685","5.074442480047828","1.7682539682539684","4.126916338136999","4.593871164328551","1.25","5.819885115600486","3.0379481376682733","2.4057588936600958","1.1755291005291004","6.273815924241413","1.5702648098536696","3.851460351594005","2.7255381771789304","1.939661765337159","5.159743313050488","7.927001099478651","3.4692918789368927","1.4285714285714286","","2.3128410354815445","","6.499330097104847","4.31993489552644","4.659240989577366","12.238119919760036","5.003804125043898","2.057142857142857","3.813079384490171","4.806763173378033","5.801978018997858"
"original","glrlm","LongRunHighGrayLevelEmphasis","6.204124217411662","5.200245446144047","3.2035811024663015","8.807435583466477","2.5785311484853817","17.17766779997726","5.440781111459719","4.211400439836951","24.945217852260864","28.629718634061135","6.112837645787424","3.0","6.4236796754255785","25.88156422049623","18.83983150815002","16.82768571732499","37.65329242470478","16.305932178499695","6.607539682539682","11.309258858316156","11.251859674284226","1.9000000000000001","14.693560378902617","16.934356692398527","3.4156482037382","2.089057239057239","9.342951282208583","2.0598318593676685","13.084221418013424","4.831407667241232","2.2710463003591284","22.233368679193653","30.84331701913475","6.6860741086813755","3.326530612244898","","5.432366506475732","","25.832709353756186","20.072485137347826","20.580592533241262","49.14992158016076","16.520078196126427","7.7214285714285715","10.425536176294079","9.674484129633386","13.194777735999496"
"original","glrlm","LongRunLowGrayLevelEmphasis","2.751847911823842","1.5711267758389913","0.9631521675336245","4.988113445180507","1.027325474868381","1.591624576850576","1.8531461422073767","0.8436693661786181","1.343464250004472","2.294510351144902","2.7860495750465475","3.0","1.2727324106006142","1.6970056444178379","0.6958031390332539","0.6037931286344148","2.5447478854739938","2.2665700554348622","0.5584325396825397","2.331330708092209","2.929374036839631","1.0875000000000001","3.6014662997749527","0.6447373084795665","2.153286566140569","0.9471470658970659","5.5065320847496215","1.4478730474751695","1.5432700849891512","2.199070804663355","1.8568156315816668","1.255788252200711","2.3222338357442163","2.665096321500772","0.9540816326530612","","1.5329596677329975","","1.6659852829420148","1.0114947550941575","1.116410121174","3.282285061063529","2.1247356072732657","0.6410714285714285","2.1599651865391944","3.589832934314195","3.953778089747449"
"original","glrlm","LowGrayLevelRunEmphasis","0.6715129321526011","0.696657934086168","0.6605640009037119","0.7287041068863505","0.7067353098846235","0.46562695012909777","0.6798138181099824","0.5898113415598121","0.2190553870226094","0.4668042715016792","0.6780433019594932","1.0","0.5829050943355635","0.29774285599018296","0.20697287309893822","0.2097054434345735","0.3925847784353874","0.5632483255732387","0.36636904761904765","0.574230533346075","0.6256230196314603","0.8375","0.6382072596483147","0.21277050839269704","0.8103566297498902","0.7903679653679654","0.7207010345024736","0.8909415709548335","0.5080588650656785","0.7125577220967572","0.9305467233873648","0.23871637206224963","0.4409453065423319","0.6111374137226734","0.6862244897959184","","0.648063920658698","","0.28739745895799473","0.22370527828692618","0.2270964600559394","0.3703892651631925","0.5553809145518397","0.3767857142857143","0.5626670562202748","0.638648091545046","0.6532334925725394"
"original","glrlm","RunEntropy","2.365988711963989","1.9303559518835074","1.5398007372564533","2.744913425055507","1.3131117248080442","2.46102627434632","2.067984191612256","1.4812704096525218","2.562852734740853","2.973894053645776","2.305122394444804","0.9182958340544889","1.9113309155947638","2.205835743708251","2.34167846042614","2.2616347487345028","3.1423197319634344","2.7085966507939543","1.2709195229213721","2.573806151294141","2.712373568714067","0.9812853965915741","2.933580780860012","2.3792130139854306","1.7697917779032997","1.082877777474447","2.7532114689403024","1.1864325791772836","2.350703483384846","2.066061975492402","1.1301819419398476","2.3251904447668825","2.9654567511102465","2.3235575916051308","1.302508484182778","","1.9472491493780122","","1.9586709861549445","2.43505091648597","2.30625363983176","3.2933473600599488","2.693606117369961","1.3595203206975177","2.517299385147437","2.69032507733233","2.919301926697889"
"original","glrlm","RunLengthNonUniformity","48.28152969371874","36.53887327466005","28.619492528695563","44.50911279374389","19.267135800888664","52.375121144116676","53.568432984274914","22.447528293528123","56.87452382215085","129.7469738686868","34.770837658471414","1.6666666666666667","26.320041159740477","43.6464652389504","64.06788786984832","59.95919980622443","201.3521893952032","98.79210918971282","4.593650793650793","165.4077793200749","221.9876223638999","4.166666666666667","176.30121872679143","61.3622691110159","25.89247751729659","19.105291005291004","41.17405938510673","20.243474981644745","72.0132339152039","52.55907558519265","15.451099335696185","57.65917785367607","127.30594802420181","36.101147075917034","4.714285714285714","","24.26764238942394","","51.81473587749461","65.06228709598126","52.61531972034921","179.2972719948077","87.32416359710716","3.6380952380952385","166.18034822098176","217.5892556566878","201.0453097531693"
"original","glrlm","RunLengthNonUniformityNormalized","0.46876210383161676","0.6084311295055062","0.8460012966172905","0.3265569736917194","0.8338819376889006","0.37794056545108606","0.5759526317402505","0.7857639607131506","0.37618598601298836","0.3607909461789681","0.45504019047814775","0.5555555555555556","0.6258210220865603","0.35740779831347524","0.47052469117151335","0.5316726066401313","0.3750295797912784","0.3753402286743489","0.6807860922146636","0.42205661974740993","0.3973609796874044","0.875","0.33339065333787576","0.5087198193941422","0.5805179103338802","0.9081473083060384","0.32482915180940464","0.7519422471716211","0.457900865252134","0.5567084005980079","0.707057126197704","0.3882366570577898","0.35325314700691546","0.4498593095779772","0.7619047619047619","","0.5931106619895485","","0.3703510574636915","0.42262291492729165","0.40343956095797867","0.3168831685985901","0.3677959828739178","0.5965532879818594","0.4335395694442629","0.4076964217657374","0.33881168356986563"
